text,created_at,updated_at
Purring does not always indicate that a cat is happy and healthy - some cats will purr loudly when they are terrified or in pain.,2020-06-05 04:23:27 UTC,2020-06-05 04:23:27 UTC
A cat can jump up to five times its own height in a single bound.,2020-07-17 05:27:13 UTC,2020-07-17 05:27:13 UTC
A healthy cat has a temperature between 38 and 39 degrees Celcius.,2020-12-04 10:32:19 UTC,2020-12-04 10:32:19 UTC
Approximately 1/3 of cat owners think their pets are able to read their minds.,2020-07-31 22:11:49 UTC,2020-07-31 22:11:49 UTC
Many cats love having their forehead gently stroked.,2020-03-28 21:45:40 UTC,2020-03-28 21:45:40 UTC
"A cat has the power to sometimes heal themselves by purring. A domestic cat's purr has a frequency of between 25 and 150 Hertz, which happens to be the frequency at which muscles and bones best grow and repair themselves. ",2020-03-19 10:17:40 UTC,2020-03-19 10:17:40 UTC
"Cats step with both left legs, then both right legs when they walk or run.",2020-11-21 16:26:50 UTC,2020-11-21 16:26:50 UTC
"In just 7 years, one un-spayed female cat and one un-neutered male cat and their offspring can result in 420,000 kittens.",2020-10-01 14:54:34 UTC,2020-10-01 14:54:34 UTC
The cat who holds the record for the longest non-fatal fall is Andy. He fell from the 16th floor of an apartment building (about 200 ft/.06 km) and survived.,2020-06-12 19:53:30 UTC,2020-06-12 19:53:30 UTC
"Miacis, the primitive ancestor of cats, was a small, tree-living creature of the late Eocene period, some 45 to 50 million years ago.",2020-01-25 03:01:32 UTC,2020-01-25 03:01:32 UTC
The first cat show was in 1871 at the Crystal Palace in London.,2020-04-18 09:11:27 UTC,2020-04-18 09:11:27 UTC
A cat uses its whiskers for measuring distances.  The whiskers of a cat are capable of registering very small changes in air pressure.,2020-04-16 01:11:33 UTC,2020-04-16 01:11:33 UTC
"A cat almost never meows at another cat, mostly just humans. Cats typically will spit, purr, and hiss at other cats.",2020-03-30 08:32:35 UTC,2020-03-30 08:32:35 UTC
Owning a cat is actually proven to be beneficial for your health.,2020-07-29 07:20:57 UTC,2020-07-29 07:20:57 UTC
"The first formal cat show was held in England in 1871; in America, in 1895.",2020-03-24 03:22:21 UTC,2020-03-24 03:22:21 UTC
Cats spend nearly 1/3 of their waking hours cleaning themselves.,2020-08-20 08:48:38 UTC,2020-08-20 08:48:38 UTC
