text,updated_at
About 37% of American homes today have at least 1 cat.,2020-03-25 20:28:56 UTC
A cat lover is called an Ailurophilia (Greek: cat+lover).,2020-11-22 18:01:19 UTC
A healthy cat has a temperature between 38 and 39 degrees Celcius.,2020-12-04 10:32:19 UTC
"The oldest cat on record was Crème Puff from Austin, Texas, who lived from 1967 to August 6, 2005, three days after her 38th birthday. A cat typically can live up to 20 years, which is equivalent to about 96 human years.",2020-03-26 10:00:28 UTC
"There are approximately 60,000 hairs per square inch on the back of a cat and about 120,000 per square inch on its underside.",2020-09-21 03:49:52 UTC
A cat's field of vision is about 200 degrees.,2020-02-05 09:58:35 UTC
A cat can travel at a top speed of approximately 31 mph (49 km) over a short distance.,2020-03-14 11:39:31 UTC
"Researchers believe the word “tabby” comes from Attabiyah, a neighborhood in Baghdad, Iraq. Tabbies got their name because their striped coats resembled the famous wavy patterns in the silk produced in this city.",2020-09-12 05:46:25 UTC
"According to a Gallup poll, most American pet owners obtain their cats by adopting strays.",2020-04-28 22:58:22 UTC
A cat's normal temperature varies around 101 degrees Fahrenheit.,2020-01-09 06:29:06 UTC
"Most cats had short hair until about 100 years ago, when it became fashionable to own cats and experiment with breeding.",2020-12-15 03:18:11 UTC
"A cat's normal pulse is 140-240 beats per minute, with an average of 195.",2020-09-05 05:32:08 UTC
"Cats' eyes shine in the dark because of the tapetum, a reflective layer in the eye, which acts like a mirror.",2020-06-28 03:22:34 UTC
The cat who holds the record for the longest non-fatal fall is Andy. He fell from the 16th floor of an apartment building (about 200 ft/.06 km) and survived.,2020-06-12 19:53:30 UTC
Normal body temperature for a cat is 102 degrees F.,2020-06-16 03:58:39 UTC
"While many cats enjoy milk, it will give some cats diarrhea.",2020-05-16 03:49:31 UTC
"Unlike dogs, cats do not have a sweet tooth. Scientists believe this is due to a mutation in a key taste receptor.",2020-10-20 06:22:11 UTC
Purring does not always indicate that a cat is happy. Cats will also purr loudly when they are distressed or in pain.,2020-01-26 18:50:52 UTC
Neutering a cat extends its life span by two or three years.,2020-05-15 11:31:11 UTC
"Unlike humans, cats are usually lefties. Studies indicate that their left paw is typically their dominant paw.",2020-01-11 01:59:16 UTC
The ancestor of all domestic cats is the African Wild Cat which still exists today.,2020-05-02 06:30:07 UTC
"Perhaps the most famous comic cat is the Cheshire Cat in Lewis Carroll’s Alice in Wonderland. With the ability to disappear, this mysterious character embodies the magic and sorcery historically associated with cats.",2020-03-29 12:47:57 UTC
Cats' hearing is much more sensitive than humans and dogs.,2020-12-12 01:32:49 UTC
Cats can judge within 3 inches the precise location of a sound being made 1 yard away.,2020-02-28 13:19:05 UTC
"When a family cat died in ancient Egypt, family members would mourn by shaving off their eyebrows. They also held elaborate funerals during which they drank wine and beat their breasts. The cat was embalmed with a sculpted wooden mask and the tiny mummy was placed in the family tomb or in a pet cemetery with tiny mummies of mice.",2020-04-01 15:50:16 UTC
"Cats that live together sometimes rub each others heads to show that they have no intention of fighting. Young cats do this more often, especially when they are excited.",2020-03-15 03:37:00 UTC
"Julius Ceasar, Henri II, Charles XI, and Napoleon were all afraid of cats.",2020-05-31 10:39:34 UTC
Jaguars are the only big cats that don't roar.,2020-12-10 22:01:32 UTC
"The first commercially cloned pet was a cat named ""Little Nicky."" He cost his owner $50,000, making him one of the most expensive cats ever.",2020-08-22 22:59:28 UTC
"During the Middle Ages, cats were associated with withcraft, and on St. John’s Day, people all over Europe would stuff them into sacks and toss the cats into bonfires. On holy days, people celebrated by tossing cats from church towers.",2020-01-21 10:50:43 UTC
"The lightest cat on record is a blue point Himalayan called Tinker Toy, who weighed 1 pound, 6 ounces (616 g). Tinker Toy was 2.75 inches (7 cm) tall and 7.5 inches (19 cm) long.",2020-09-28 03:02:55 UTC
Ancient Egyptian family members shaved their eyebrows in mourning when the family cat died.,2020-11-08 11:31:02 UTC
